Country Name,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Afghanistan,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.920872333,1.786901394,1.908289569,1.949714008,1.776615605,1.930953984,1.892588579,1.765750843,1.754074335,1.785418912,1.74231742
Albania,28.78832117,28.71715328,28.6459854,28.57481752,28.50364964,28.43248175,28.36131387,28.29014599,28.2189781,28.14781022,28.07664234,28.12324818,28.16985401,28.21645985,28.26306569,28.30967153,28.35627737,28.40288321,28.44948905,28.49609489,28.54270073,28.59465328,28.64660584,28.69855839,28.75051095,28.8024635,28.80218978,28.79206204,28.7919708,28.7919708,28.7919708,28.76723141,28.72005662,28.63807512,28.58011934,28.48894896,28.45665823,28.41665994,28.3014626,28.30148103,28.19402888,28.18964334
Algeria,0.69990847,0.696213693,0.692518915,0.688824137,0.685129359,0.681434581,0.677739804,0.674045026,0.670350248,0.66665547,0.662960693,0.677193984,0.691427276,0.705660567,0.719893859,0.734127151,0.748360442,0.762593734,0.776827026,0.791060317,0.805293609,0.808484553,0.811675498,0.814866442,0.818057387,0.821247986,0.821247986,0.815789794,0.810331602,0.81411035,0.81830896,0.773434773,0.625175408,0.745802432,0.791239929,0.604107299,0.769932975,0.726286571,0.587352063,0.587919724,0.608248734,0.570490043
American Samoa,90.35,90.18,90.01,89.84,89.67,89.5,89.33,89.16,88.99,88.82,88.65,88.5,88.35,88.2,88.05,87.9,87.75,87.6,87.45,87.3,87.15,87,86.85,86.7,86.55,86.4,86.25,86.1,85.95,85.8,85.65,90.1879621,90.14087342,89.76327983,89.6277161,89.50416903,89.42171669,89.381323,89.15799178,88.74640211,88.7682251,88.47870353
Andorra,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.01151818,34.04833843,34.05753689,34.07240404,34.04203328,34.02219476,34.03634931,34.0391493,33.9863205,34.04429222,34.08091854
Angola,63.57807011,63.4534074,63.32874469,63.20408198,63.07941927,62.95475656,62.83009385,62.70543114,62.58076843,62.45610572,62.33144301,61.88621882,61.44099463,60.99577043,60.55054624,60.10532205,59.66009786,59.21487367,58.76964947,58.32442528,57.87920109,57.4339761,56.9887511,56.54352611,56.09830111,55.65307612,55.20784471,54.76262934,54.31740595,53.87217454,53.42695115,63.51512461,63.45427127,63.30936088,63.13477551,63.03101372,63.01690413,62.83092118,62.62026342,62.37244903,62.1907683,61.93508989
Antigua and Barbuda,22.97727273,22.82727273,22.67727273,22.52727273,22.37727273,22.22727273,22.07727273,21.92727273,21.77727273,21.62727273,21.47727273,21.325,21.17272727,21.02045455,20.86818182,20.71590909,20.56363636,20.41136364,20.25909091,20.10681818,19.95454545,19.80454545,19.65454545,19.50454545,19.35454545,19.20454545,19.04545455,18.90909091,18.75,18.59090909,18.45454545,22.96148639,22.82911524,22.70552108,22.58151003,22.36430012,22.25106436,22.14650154,21.89824948,21.69391929,21.59865497,21.38155133
Argentina,12.86371493,12.79699199,12.73026905,12.66354611,12.59682317,12.53010023,12.46337729,12.39665435,12.32993141,12.26320847,12.19648554,12.08087142,11.9652573,11.84964318,11.73402906,11.61841495,11.50280083,11.38718671,11.27157259,11.15595848,11.04034436,10.9587129,10.87708144,10.79544998,10.71381852,10.63218706,10.60039683,10.55983688,10.52037315,10.48017861,10.44071488,12.88269335,12.78077122,12.77073227,12.72666284,12.57449826,12.57314118,12.5051033,12.32511742,12.16972028,12.1940479,12.05360445
Armenia,11.74260625,11.74260625,11.74260625,11.73526519,11.72792413,11.72058307,11.71324201,11.70590095,11.69855989,11.69121883,11.68387777,11.67657183,11.66926589,11.66195996,11.65465402,11.64734809,11.64004215,11.63273621,11.62543028,11.61812434,11.61081841,11.60351247,11.59620653,11.5889006,11.58159466,11.57428872,11.56691254,11.55953635,11.55216017,11.54478398,11.5374078,11.74844496,11.72715872,11.77583994,11.7798377,11.69950059,11.74986689,11.75036923,11.6697936,11.59385741,11.67230029,11.61623469
Aruba,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.397298073,2.268793872,2.387913404,2.427570032,2.260572187,2.408920039,2.371755106,2.24992217,2.233901276,2.268111364,2.224206224
Australia,17.42735899,17.40043867,17.37351835,17.34659802,17.3196777,17.29275738,17.26583705,17.23891673,17.21199641,17.18507608,17.15815576,17.12863335,17.09911094,17.06958853,17.04006613,17.01054372,16.98102131,16.9514989,16.92197649,16.89245408,16.86293167,16.95531026,17.04768884,17.14006743,17.23244601,17.3248246,17.42548771,17.42291362,17.42131456,17.42131456,17.42131456,17.43714861,17.41442102,17.41058898,17.39096825,17.2962169,17.30854506,17.29766332,17.20856362,17.12080562,17.17179324,17.10684928
Austria,45.75460494,45.8303078,45.90601066,45.98171352,46.05741638,46.13311924,46.2088221,46.28452496,46.36022782,46.43593068,46.51163354,46.54200194,46.57237033,46.60273873,46.63310713,46.66347552,46.69384392,46.72421231,46.75458071,46.7849491,46.8153175,46.85891905,46.9025206,46.94612215,46.9897237,47.03332525,47.07695104,47.12045565,47.16396025,47.20746486,47.25096946,45.77487276,45.81515682,45.82872055,45.93718355,46.0108887,46.15916452,46.23301179,46.29618075,46.2628048,46.43152401,46.4309524
Azerbaijan,11.45482293,11.45482293,11.45482293,11.50587019,11.55691746,11.60796472,11.65901198,11.71005924,11.7787994,11.885279,11.95109255,12.00604692,12.05881164,12.10862895,12.16046303,12.21700097,12.27518908,12.33116944,12.38626236,12.44180848,12.49146583,12.60099567,12.71082654,12.82050351,12.92970858,13.03953401,13.15441152,13.27314606,13.41393036,13.55336705,13.69418968,11.38375499,11.43070061,11.50414808,11.56705219,11.53617565,11.63395499,11.71200668,11.71037244,11.70720772,11.85687165,11.86608616
"Bahamas, The",50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.89839035,50.93589303,50.81821496,50.85467826,50.84210378,50.91240626,50.9301333,50.91225078,50.85551579,50.93808635,50.91382983
Bahrain,0.31884058,0.34057971,0.352112676,0.373239437,0.394366197,0.415492958,0.436619718,0.457746479,0.478873239,0.5,0.521126761,0.542253521,0.563380282,0.576388889,0.589041096,0.601351351,0.621621622,0.633333333,0.644736842,0.664473684,0.682414698,0.698826597,0.716883117,0.737662338,0.757457847,0.771208226,0.795892169,0.820512821,0.846153846,0.868454662,0.891719745,0.389552044,0.262864288,0.415438454,0.474412262,0.311032954,0.490342674,0.466000942,0.369424628,0.381473463,0.4262651,0.402870406
Bangladesh,14.75247753,14.75247599,14.75247446,14.75247292,14.75247138,14.75246985,14.75246908,14.75246754,14.75246601,14.75246447,14.75246293,14.72789045,14.70331797,14.67874549,14.654173,14.62960052,14.60502804,14.58045556,14.55588308,14.53130983,14.50673734,14.4991442,14.49155105,14.4839579,14.47636475,14.46877161,14.46877161,14.46877161,14.46877161,14.46877161,14.46877161,14.74938883,14.75657462,14.7920414,14.79045322,14.72585637,14.76177963,14.77995926,14.71333337,14.63429558,14.72608032,14.67102355
Barbados,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.64525971,14.65318652,14.68628227,14.68853477,14.62684184,14.66462923,14.68325578,14.62441488,14.55512875,14.64362541,14.59957689
Belarus,38.82460774,38.82460774,38.82460774,39.07448298,39.32018257,39.56513595,39.81089848,40.05373296,40.30192921,40.54379175,40.78423253,40.9610341,41.14007366,41.3166951,41.49495846,41.66728294,41.82864803,42.00521437,42.18095435,42.3577364,42.53284837,42.53462126,42.54037723,42.54194019,42.53176531,42.53416626,42.90696987,42.97840266,43.05153217,43.12615476,43.19440339,38.50884908,38.71312992,38.87235502,39.21195729,39.41886286,39.5811194,39.85744481,40.1768002,40.29177912,40.60011795,40.70464816
Belgium,23.25411335,23.22608166,23.19804997,23.17001828,23.14198659,23.11395491,23.08592322,23.05789153,23.02985984,23.00182815,22.03764861,22.11218626,22.18672391,22.26126156,22.33579921,22.41033686,22.4848745,22.55941215,22.6339498,22.70848745,22.7830251,22.77926024,22.77549538,22.77173052,22.76796565,22.76420079,22.76420079,22.76420079,22.76420079,22.76420079,22.76420079,23.29010599,23.27610463,23.3169043,23.24024875,23.18007973,23.14727877,23.07159128,22.90097078,22.68802695,22.70641422,22.53827037
Belize,70.1459886,69.52902236,68.91205612,68.29508987,67.67812363,67.06115739,66.44419114,65.8272249,65.21025866,64.59329242,63.97632617,63.67860587,63.38088558,63.08316528,62.78544498,62.48772468,62.19000438,61.89228409,61.59456379,61.29684349,60.99912319,60.48566418,59.97220517,59.45874616,58.94528715,58.43182815,57.94300745,57.45374836,56.96492766,56.47566857,55.98640947,69.96333346,69.49775762,68.691302,68.11641312,67.51421928,66.85648631,66.4481319,66.03114495,65.08999134,64.9118989,64.32247741
Benin,42.88001064,42.25922313,41.63843562,41.0176481,40.39686059,39.77607308,39.15528556,38.53449805,37.91371054,37.29292302,36.67213551,36.22871586,35.7852962,35.34187655,34.8984569,34.45503725,34.01161759,33.56819794,33.12477829,32.68135864,32.23793899,31.79451933,31.35109968,30.90768003,30.46426038,30.02084072,29.57742107,29.13400142,28.69058177,28.24716211,27.80374246,43.06784178,42.24500037,41.42970237,41.04464061,40.62839273,39.95204802,39.04052306,38.4385796,38.0346312,37.14419801,36.48113527
Bermuda,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.53387012,18.53199858,18.55710457,18.55860755,18.48537738,18.53221615,18.53741604,18.48997421,18.44973721,18.50883515,18.48465956
Bhutan,53.65066455,53.86315091,54.07563727,54.28812362,63.98070352,64.23015075,64.47959799,64.72904523,64.97849246,65.2279397,65.47738693,65.7268593,65.97633166,66.22580402,69.41039431,69.67088176,69.93136921,70.19185665,70.4523441,70.71283154,70.97331899,71.02521185,71.0771047,71.12899756,71.18089042,71.23278327,71.23427013,71.28617869,71.34556896,71.39748296,71.44939696,53.44556605,54.80769328,55.85713921,58.91396028,60.78096296,63.18249959,63.51114175,64.03202668,63.83914264,64.79103337,65.29124428
Bolivia,53.35984492,53.11029909,52.86075325,52.61120742,52.36166159,52.11211576,51.86256993,51.61302409,51.36347826,51.11393243,50.8643866,50.6783458,50.49230499,50.30626419,50.12022339,49.93418259,49.74814179,49.56210099,49.37606019,49.19001939,49.00397858,48.80850365,48.61302871,48.41755377,48.22207883,48.0266039,47.77132835,47.53274255,47.31213884,47.10953568,46.92491461,53.31463339,53.12557652,52.77452348,52.51387825,52.28288623,52.07127758,51.85448469,51.62254689,51.25833697,51.14482537,50.8409369
Bosnia and Herzegovina,42.77988281,42.77988281,42.77988281,42.58779297,42.39570313,42.20361328,42.01152344,41.81943359,41.62734375,41.43525391,41.24316406,41.22560547,41.20804688,41.19048828,41.17292969,41.15537109,41.1378125,41.12025391,41.10269531,41.08513672,41.06757813,41.29351563,41.51945313,41.74539063,41.97132813,42.19726563,42.50996094,42.73261719,42.73261719,42.73261719,42.73261719,42.83866525,42.74149563,42.47760122,42.48916035,42.26106136,42.22006879,41.98860409,41.83736428,41.60799421,41.47879513,41.29805796
Botswana,33.17929173,32.97055035,32.76180897,32.5530676,32.34432622,32.13558485,31.92684347,31.71810209,31.50936072,31.30061934,31.09187797,30.88313659,30.67439521,30.46565384,30.25691246,30.04817109,29.83942971,29.63068833,29.42194696,29.21320558,29.00446421,28.79572283,28.58698146,28.37824008,28.1694987,27.96075733,27.75201595,27.54327458,27.3345332,27.12579182,26.91705045,33.08265309,32.89685004,32.72820741,32.54744767,32.35796915,32.20585918,31.95416604,31.72903766,31.51561367,31.26244933,31.0683886
Brazil,70.45802056,70.00565437,69.55328817,69.10092198,68.64855578,68.19618958,67.74382339,67.29145719,66.83909099,66.3867248,65.9343586,65.4616709,64.98898319,64.51629549,64.04360779,63.57092009,63.09823238,62.62554468,62.15285698,61.68016927,61.20748157,61.02332816,60.83917474,60.65502133,60.47086792,60.28671451,60.07103255,59.83288148,59.70842795,59.55852618,59.41747805,70.24096249,69.97919666,69.47257205,68.96005572,68.63631361,68.18745963,67.80280016,67.34458098,66.67037569,66.38838001,65.83523133
British Virgin Islands,24.73333333,24.70666667,24.68,24.65333333,24.62666667,24.6,24.57333333,24.54666667,24.52,24.49333333,24.46666667,24.44666667,24.42666667,24.40666667,24.38666667,24.36666667,24.34666667,24.32666667,24.30666667,24.28666667,24.26666667,24.24,24.21333333,24.18666667,24.16,24.13333333,24.13333333,24.13333333,24.13333333,24.13333333,24.13333333,24.73282076,24.71550537,24.70079223,24.6709089,24.57998575,24.58824174,24.5936311,24.5133746,24.49260974,24.47340148,24.43703548
Brunei Darussalam,78.36812144,78.06451613,77.76091082,77.4573055,77.15370019,76.85009488,76.54648956,76.24288425,75.93927894,75.63567362,75.33206831,75.00948767,74.68690702,74.36432638,74.04174573,73.71916509,73.39658444,73.0740038,72.75142315,72.4288425,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,78.20304091,78.05910839,77.64031929,77.2920873,77.07490931,76.79169426,76.61505194,76.2518066,75.76453461,75.57894655,75.18791334
Bulgaria,30.07321703,30.1166049,30.15999277,30.20338064,30.24676851,30.29015638,30.33354425,30.37693212,30.42031999,30.46370786,30.50709572,30.83431257,31.68566176,32.02721339,32.3630011,32.73195876,33.0682132,33.40760519,33.74090784,34.0899042,34.42336035,34.60022108,34.7770818,34.95394252,35.13080324,35.30766396,35.38135593,35.50110538,35.62085483,35.74060427,35.86035372,30.1057861,30.15201943,30.20839102,30.32453249,30.09447855,30.30503578,30.55039882,30.65742409,30.78363727,30.86616664,30.97255037
Burkina Faso,28.20394737,28.02116228,27.83837719,27.65559211,27.47280702,27.29002193,27.10723684,26.92445175,26.74166667,26.55888158,26.37609649,26.19334795,26.01059942,25.82785088,25.64510234,25.4623538,25.27960526,25.09685673,24.91410819,24.73135965,24.54861111,24.36578947,24.18296784,24.0001462,23.81732456,23.63450292,23.45175439,23.26900585,23.08625731,22.90350877,22.72076023,28.16163466,27.96764925,27.82974457,27.65748609,27.48861693,27.32313361,27.10151947,26.89375676,26.67252993,26.52333365,26.38127838
Burundi,10.76635514,10.44493769,10.12352025,9.802102804,9.480685358,9.159267913,8.837850467,8.516433022,8.195015576,7.873598131,7.552180685,7.552180685,7.552180685,7.552180685,7.552180685,7.552180685,7.552180685,7.552180685,7.552180685,7.552180685,7.552180685,8.219626168,8.887071651,9.554517134,10.22196262,10.8894081,10.8894081,10.8894081,10.8894081,10.8894081,10.8894081,10.64603636,10.34170754,10.04101251,9.859859844,9.524955733,9.379342721,9.150366606,8.59923219,8.401459831,8.159572838,7.875966905
Cabo Verde,3.816377171,4.420347395,5.024317618,5.628287841,6.232258065,6.836228288,7.440198511,8.044168734,8.648138958,9.252109181,9.856079404,9.930521092,10.00496278,10.07940447,10.15384615,10.22828784,10.30272953,10.37717122,10.4516129,10.52605459,10.60049628,10.67493797,10.74937965,10.82382134,10.89826303,10.97270471,11.0471464,11.12158809,11.19602978,11.27047146,11.34491315,4.784542825,5.219296359,5.530234725,5.958628024,6.297333057,6.549463481,7.486970136,7.908368799,8.12505339,8.973730334,9.640144851
Cambodia,62.34302062,62.21624179,62.08946295,61.96268412,61.83590528,61.70912644,61.58234761,61.45556877,61.32878994,61.2020111,61.07523227,60.96659302,60.85795377,60.74931453,60.64067528,60.53203603,60.42339678,60.31475753,60.20611829,60.09747904,59.98883979,58.01466123,56.04048266,54.0663041,52.09212554,50.11794697,49.2359506,48.35395423,47.47195785,46.58996148,45.7079651,62.24679247,62.20615562,61.95020297,61.833099,61.71830012,61.65172744,61.56563577,61.42801278,61.20967151,61.1686602,60.9907723
Cameroon,47.597893,47.40697045,47.21604789,47.02512534,46.83420279,46.64328024,46.45235768,46.26143513,46.07051258,45.87959002,45.68866747,45.54121766,45.39376785,45.24631804,45.09886823,44.95141842,44.80396861,44.6565188,44.50906899,44.36161917,44.21416936,44.0957035,43.97723763,43.85877176,43.7403059,43.62184003,43.50337416,43.38490829,43.26644243,43.14797656,43.02951069,47.57177363,47.42133775,47.1280768,46.96749385,46.74950103,46.62250971,46.41003307,46.2468739,45.97267486,45.87739656,45.65501764
Canada,38.84551156,38.84025859,38.83500562,38.82975264,38.82449967,38.8192467,38.81399372,38.80874075,38.80348778,38.79823481,38.79298183,38.78763071,38.78227958,38.77692846,38.77157733,38.7662262,38.76087508,38.75552395,38.75017283,38.7448217,38.73947058,38.73486407,38.73025757,38.72565107,38.72104457,38.71643807,38.71201338,38.7078876,38.70376294,38.69963717,38.69551251,38.83515353,38.85818284,38.81036357,38.84169914,38.79240134,38.848125,38.81598606,38.77097317,38.76310029,38.77793117,38.75125782
Cayman Islands,54.70833333,54.625,54.54166667,54.45833333,54.375,54.29166667,54.20833333,54.125,54.04166667,53.95833333,53.875,53.7875,53.7,53.6125,53.525,53.4375,53.35,53.2625,53.175,53.0875,53,53,53,53,53,53,53,53,53.375,53,53,54.64334402,54.62780873,54.43758397,54.36492837,54.27740741,54.25379538,54.17038748,54.08826315,53.95677831,53.92792123,53.80689002
